Threshold,Precision,Recall,F1,Falsos_Positivos,Falsos_Negativos
0.1,0.5657894736842105,0.8775510204081632,0.688,66,12
0.2,0.7567567567567568,0.8571428571428571,0.8038277511961722,27,14
0.3,0.8282828282828283,0.8367346938775511,0.8324873096446701,17,16
0.4,0.8229166666666666,0.8061224489795918,0.8144329896907216,17,19
0.5,0.8260869565217391,0.7755102040816326,0.8,16,22
0.6,0.8433734939759037,0.7142857142857143,0.7734806629834254,13,28
0.7,0.8571428571428571,0.673469387755102,0.7542857142857143,11,32
0.8,0.8805970149253731,0.6020408163265306,0.7151515151515152,8,39
0.9,0.96,0.4897959183673469,0.6486486486486487,2,50
