Threshold,Precision,Recall,F1,Falsos_Positivos,Falsos_Negativos
0.1,0.02750309023485785,0.9081632653061225,0.05338932213557288,3147,9
0.2,0.0396260017809439,0.9081632653061225,0.07593856655290103,2157,9
0.3,0.051296829971181554,0.9081632653061225,0.09710856519367157,1646,9
0.4,0.06389088298636038,0.9081632653061225,0.11938296445338699,1304,9
0.5,0.07639484978540773,0.9081632653061225,0.14093428345209819,1076,9
0.6,0.09378292939936776,0.9081632653061225,0.17000955109837632,860,9
0.7,0.11633986928104575,0.9081632653061225,0.20625724217844726,676,9
0.8,0.14915254237288136,0.8979591836734694,0.2558139534883721,502,10
0.9,0.20279720279720279,0.8877551020408163,0.3301707779886148,342,11
