Modelo,Precision_Fraude,Recall_Fraude,F1_Fraude,ROC_AUC,Average_Precision,Falsos_Positivos,Falsos_Negativos
Regressão Logística,0.07639484978540773,0.9081632653061225,0.14093428345209819,0.9616133876172865,0.6944767623841113,1076,9
Random Forest,0.8260869565217391,0.7755102040816326,0.8,0.9571296318893342,0.819050493558908,16,22
